,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,status
2711,4712,0.73,0.5,4,224,4,1,0,support,low,1
2712,4713,0.95,0.72,4,235,2,0,0,support,low,1
2713,4714,0.69,0.68,5,167,3,0,0,technical,low,1
2714,4715,0.79,0.89,3,104,4,0,0,technical,low,1
2715,4716,0.63,0.57,5,160,2,0,0,technical,low,1
2716,4717,0.8,0.79,4,168,3,0,0,management,low,1
2717,4718,0.64,0.61,2,153,2,0,0,IT,low,1
2718,4719,0.92,0.9,4,249,3,0,0,IT,low,1
2719,4720,0.96,0.75,4,177,2,0,0,IT,low,1
2720,4721,0.56,0.85,3,225,3,0,0,IT,high,1
2721,4722,0.37,0.61,3,186,2,0,0,IT,low,1
2722,4723,0.5,0.82,3,133,2,1,0,product_mng,low,1
2723,4724,0.49,0.58,4,213,4,1,0,product_mng,low,1
2724,4725,1.0,0.73,3,245,2,1,0,product_mng,low,1
2725,4726,0.82,0.75,5,160,3,1,0,product_mng,high,1
2726,4727,0.52,0.54,4,212,3,0,0,IT,low,1
2727,4728,0.76,0.96,4,135,3,1,1,RandD,low,1
2728,4729,0.2,0.53,3,149,4,0,1,RandD,low,1
2729,4730,0.6,0.9,4,178,3,0,1,RandD,high,1
2730,4731,0.69,0.9,6,224,4,0,1,RandD,low,1
2731,4732,0.93,0.51,3,196,2,0,1,RandD,medium,1
2732,4733,0.7,0.64,4,178,3,1,1,marketing,high,1
2733,4734,0.56,0.54,4,191,2,1,1,sales,medium,1
2734,4735,0.97,0.61,4,167,3,0,1,accounting,high,1
2735,4736,0.24,0.65,6,275,5,1,1,support,medium,1
2736,4737,0.83,0.91,3,168,3,0,1,technical,medium,1
2737,4738,0.55,0.85,3,152,2,0,1,management,medium,1
2738,4739,0.68,0.99,3,263,3,1,1,marketing,medium,1
2739,4740,0.48,0.53,3,113,4,0,0,marketing,medium,1
2740,4741,0.75,0.95,3,253,3,0,0,marketing,medium,1
2741,4742,0.61,0.5,4,271,3,1,0,sales,medium,1
2742,4743,0.5,0.74,4,165,2,1,0,sales,medium,1
2743,4744,0.78,0.54,5,257,3,0,0,sales,high,1
2744,4745,0.61,0.68,4,244,3,0,0,sales,low,1
2745,4746,0.48,0.5,4,179,3,0,0,sales,medium,1
2746,4747,0.93,0.92,3,248,2,0,0,sales,medium,1
2747,4748,0.78,0.58,3,224,2,0,0,sales,medium,1
2748,4749,0.92,0.99,5,236,4,0,0,sales,medium,1
2749,4750,0.71,0.98,5,213,3,0,0,sales,medium,1
2750,4751,0.15,0.42,4,238,3,0,0,sales,medium,1
2751,4752,0.14,0.83,5,153,5,1,0,sales,medium,1
2752,4753,0.56,0.72,4,247,2,0,0,sales,medium,1
2753,4754,1.0,0.84,3,154,3,0,0,sales,medium,1
2754,4755,0.77,0.82,3,147,4,0,0,sales,high,1
2755,4756,0.86,0.66,3,150,2,0,0,sales,low,1
2756,4757,0.88,0.95,3,137,3,0,0,sales,low,1
2757,4758,0.85,0.84,5,179,3,0,0,sales,low,1
2758,4759,0.95,0.56,5,194,2,0,0,sales,high,1
2759,4760,0.65,0.65,4,224,3,0,0,sales,low,1
2760,4761,0.7,0.55,3,253,2,1,0,accounting,low,1
2761,4762,0.6,0.55,3,177,3,1,0,accounting,low,1
2762,4763,0.84,0.83,3,215,3,0,0,accounting,high,1
2763,4764,0.23,0.59,5,245,5,0,0,hr,low,1
2764,4765,0.89,0.75,3,134,3,0,0,hr,low,1
2765,4766,0.98,0.91,4,273,2,0,0,hr,low,1
2766,4767,0.88,0.83,4,163,3,0,0,hr,low,1
2767,4768,0.87,0.52,3,152,4,0,0,technical,low,1
2768,4769,0.93,0.96,3,268,4,0,0,technical,low,1
2769,4770,0.13,0.95,5,149,2,0,0,technical,low,1
2770,4771,0.99,0.56,6,128,4,0,0,technical,medium,1
2771,4772,0.52,0.51,3,218,2,1,0,technical,medium,1
2772,4773,0.58,0.98,3,146,3,0,0,technical,medium,1
2773,4774,0.85,0.57,5,190,2,1,0,technical,medium,1
2774,4775,0.41,0.59,2,182,3,0,0,technical,medium,1
2775,4776,1.0,0.8,5,162,3,1,0,technical,medium,1
2776,4777,0.63,0.64,3,243,3,0,0,technical,medium,1
2777,4778,0.63,0.58,4,141,3,1,0,technical,medium,1
2778,4779,0.63,0.9,3,142,3,0,0,support,medium,1
2779,4780,0.59,0.62,3,203,4,0,0,support,medium,1
2780,4781,0.88,0.77,4,168,4,0,0,support,medium,1
2781,4782,0.72,0.7,3,149,3,0,0,support,medium,1
2782,4783,0.67,0.81,4,168,2,0,0,support,high,1
2783,4784,0.41,0.54,2,190,4,0,0,support,low,1
2784,4785,0.3,0.68,3,229,6,0,0,support,medium,1
2785,4786,0.83,0.84,3,249,2,0,0,support,medium,1
2786,4787,0.73,0.93,4,162,2,1,0,support,medium,1
2787,4788,0.87,0.9,4,163,2,0,0,support,medium,1
2788,4789,0.93,0.74,2,169,4,0,0,support,low,1
2789,4790,0.97,0.91,4,257,3,1,0,technical,low,1
2790,4791,0.7,0.54,4,150,4,0,0,technical,low,1
2791,4792,0.66,0.95,4,183,3,0,0,technical,low,1
2792,4793,0.62,0.66,3,208,3,0,0,management,low,1
2793,4794,0.56,0.52,4,158,2,0,0,IT,low,1
2794,4795,0.32,0.72,2,240,5,0,0,IT,low,1
2795,4796,0.55,0.81,5,251,3,0,0,IT,low,1
2796,4797,0.69,0.91,5,205,2,0,0,IT,low,1
2797,4798,0.91,0.63,4,226,3,1,0,IT,low,1
2798,4799,0.33,0.82,5,249,6,0,0,product_mng,low,1
2799,4800,0.37,0.74,2,197,3,0,0,product_mng,low,1
2800,4801,0.95,0.57,5,216,3,0,0,product_mng,low,1
2801,4802,0.17,0.91,4,260,5,0,0,product_mng,low,1
2802,4803,0.95,0.53,4,263,3,0,0,IT,low,1
2803,4804,0.27,0.69,2,177,5,0,0,RandD,low,1
2804,4805,0.91,0.95,4,171,3,0,0,RandD,low,1
2805,4806,0.49,0.61,3,148,2,1,0,RandD,low,1
2806,4807,0.6,0.56,4,138,3,0,0,RandD,low,1
2807,4808,0.52,0.57,4,183,3,0,0,RandD,low,1
2808,4809,0.54,0.65,3,202,3,0,0,marketing,low,1
2809,4810,0.86,0.53,4,160,2,1,0,sales,medium,1
2810,4811,0.78,0.87,4,264,3,0,0,accounting,medium,1
2811,4812,0.6,0.81,4,245,3,1,0,support,medium,1
2812,4813,0.15,0.91,2,207,3,0,0,technical,medium,1
2813,4814,0.72,0.92,3,225,3,0,0,management,medium,1
2814,4815,0.94,0.85,4,236,2,0,0,marketing,medium,1
2815,4816,0.92,0.56,4,170,3,0,0,marketing,medium,1
2816,4817,0.6,0.88,3,261,3,1,0,marketing,medium,1
2817,4818,0.41,0.68,4,273,3,0,0,sales,medium,1
2818,4819,0.5,0.43,3,184,2,0,0,sales,medium,1
2819,4820,0.8,0.91,3,202,2,0,0,sales,medium,1
2820,4821,0.67,0.83,4,195,3,0,0,sales,medium,1
2821,4822,0.71,0.88,4,266,3,0,0,sales,high,1
2822,4823,0.66,0.85,3,266,5,0,0,sales,low,1
2823,4824,0.77,0.74,5,263,2,0,0,sales,medium,1
2824,4825,0.62,0.54,3,142,2,0,0,sales,medium,1
2825,4826,0.95,0.53,4,162,3,0,0,sales,medium,1
2826,4827,0.89,0.75,5,258,2,0,0,sales,medium,1
2827,4828,0.74,0.83,4,170,2,0,0,sales,low,1
2828,4829,0.19,0.8,4,249,5,0,0,sales,low,1
2829,4830,0.83,0.77,3,171,3,0,0,sales,low,1
2830,4831,0.53,0.64,2,177,4,0,0,sales,low,1
2831,4832,0.98,0.75,5,188,2,0,0,sales,low,1
2832,4833,0.74,0.99,5,146,2,0,0,sales,low,1
2833,4834,0.22,0.88,5,154,5,0,0,sales,low,1
2834,4835,0.76,0.68,4,204,3,1,0,sales,low,1
2835,4836,0.89,0.91,5,224,3,1,0,sales,low,1
2836,4837,0.5,0.84,3,156,4,0,0,accounting,low,1
2837,4838,0.17,0.82,6,259,4,0,0,accounting,low,1
2838,4839,0.46,0.38,6,165,3,0,0,accounting,low,1
2839,4840,0.68,0.78,3,264,3,0,0,hr,low,1
2840,4841,0.77,0.86,4,215,2,0,0,hr,low,1
2841,4842,0.68,0.83,3,133,3,0,0,hr,low,1
2842,4843,0.15,0.7,4,220,4,0,0,hr,low,1
2843,4844,0.7,0.98,4,176,5,0,0,technical,low,1
2844,4845,0.66,0.96,4,103,2,0,0,technical,low,1
2845,4846,0.54,0.52,5,155,3,0,0,technical,low,1
2846,4847,0.57,0.57,4,141,3,0,0,technical,low,1
2847,4848,0.78,0.58,3,150,3,1,0,technical,low,1
2848,4849,0.14,0.83,5,171,6,0,0,technical,medium,1
2849,4850,0.73,0.86,4,179,3,0,0,technical,medium,1
2850,4851,0.65,0.97,4,145,2,0,0,technical,medium,1
2851,4852,0.31,0.59,3,176,3,0,0,technical,medium,1
2852,4853,0.77,0.55,2,172,2,0,0,technical,medium,1
2853,4854,0.68,0.85,3,243,4,0,0,technical,medium,1
2854,4855,0.79,0.69,4,209,2,0,0,support,medium,1
2855,4856,0.92,0.62,4,196,3,0,0,support,medium,1
2856,4857,0.77,0.96,6,225,4,0,0,support,medium,1
2857,4858,0.48,0.89,3,261,2,0,0,support,medium,1
2858,4859,0.63,0.66,4,157,2,0,0,support,medium,1
2859,4860,0.92,0.49,5,259,3,1,0,support,medium,1
2860,4861,0.5,0.85,4,224,6,0,0,support,high,1
2861,4862,0.52,0.91,5,193,2,0,0,support,low,1
2862,4863,0.73,0.79,4,157,3,0,0,support,medium,1
2863,4864,0.99,0.87,4,223,3,0,0,support,medium,1
2864,4865,0.91,0.99,3,188,3,1,0,support,medium,1
2865,4866,0.85,0.79,3,217,2,0,0,technical,medium,1
2866,4867,0.95,0.69,4,207,2,1,0,technical,low,1
2867,4868,0.67,0.85,3,153,4,0,0,technical,low,1
2868,4869,0.86,0.55,3,269,2,0,0,management,low,1
2869,4870,0.71,0.54,4,198,3,0,0,IT,low,1
2870,4871,0.99,0.95,4,102,5,0,0,IT,low,1
2871,4872,0.57,0.61,3,167,2,1,0,IT,low,1
2872,4873,0.98,0.72,3,252,2,0,0,IT,low,1
2873,4874,0.62,0.58,3,192,2,0,0,IT,low,1
2874,4875,0.74,0.79,5,237,4,0,0,product_mng,low,1
2875,4876,0.7,0.6,4,158,3,0,0,product_mng,low,1
2876,4877,0.8,0.93,3,260,3,0,0,product_mng,low,1
2877,4878,0.65,0.69,4,153,3,0,0,product_mng,low,1
2878,4879,0.53,0.52,3,233,4,0,0,IT,low,1
2879,4880,0.43,0.62,2,180,3,0,0,RandD,low,1
2880,4881,0.59,0.65,4,163,3,1,0,RandD,low,1
2881,4882,0.16,0.96,6,211,6,1,0,RandD,low,1
2882,4883,0.84,0.8,3,151,3,1,0,RandD,low,1
2883,4884,0.78,0.95,3,249,4,0,0,RandD,low,1
2884,4885,0.66,0.91,5,199,3,1,0,marketing,low,1
2885,4886,0.7,0.74,4,247,2,0,0,sales,low,1
2886,4887,0.73,0.63,4,174,3,0,0,accounting,low,1
2887,4888,0.65,0.88,4,268,4,0,0,support,medium,1
2888,4889,0.79,0.59,5,197,4,0,0,technical,medium,1
2889,4890,0.57,0.68,4,154,3,1,0,management,medium,1
2890,4891,0.24,0.58,5,279,4,0,0,marketing,medium,1
2891,4892,0.95,0.78,3,204,2,1,0,marketing,medium,1
2892,4893,0.38,0.54,2,112,3,0,0,marketing,medium,1
2893,4894,0.9,0.78,4,261,2,1,0,sales,medium,1
2894,4895,0.5,0.4,3,180,4,0,0,sales,medium,1
2895,4896,0.68,0.61,3,261,5,0,0,sales,medium,1
2896,4897,0.5,0.78,6,138,3,0,0,sales,medium,1
2897,4898,0.85,0.81,4,164,4,0,0,sales,medium,1
2898,4899,0.95,0.52,3,144,3,0,0,sales,medium,1
2899,4900,0.92,0.92,3,244,2,0,0,sales,high,1
2900,4901,0.83,0.87,5,233,3,0,0,sales,low,1
2901,4902,0.9,0.78,4,225,2,1,0,sales,medium,1
2902,4903,0.21,0.77,6,215,4,0,0,sales,medium,1
2903,4904,0.94,0.86,3,223,4,0,0,sales,medium,1
2904,4905,0.7,0.85,4,232,3,0,0,sales,medium,1
2905,4906,0.54,0.76,3,157,4,0,0,sales,low,1
2906,4907,0.77,0.65,4,268,3,0,0,sales,low,1
2907,4908,0.62,0.49,3,158,2,0,0,sales,low,1
2908,4909,0.93,0.55,5,222,2,0,0,sales,low,1
2909,4910,0.81,0.86,3,210,3,0,0,sales,low,1
2910,4911,0.99,0.79,4,133,2,0,0,sales,low,1
2911,4912,0.78,0.49,3,224,3,0,0,sales,low,1
2912,4913,0.66,0.63,5,264,5,0,0,accounting,low,1
2913,4914,0.9,0.72,5,237,2,0,0,accounting,low,1
2914,4915,0.74,0.53,5,141,2,0,0,accounting,low,1
2915,4916,0.65,0.78,4,238,5,1,0,hr,low,1
2916,4917,0.99,0.52,4,167,3,0,0,hr,low,1
2917,4918,0.83,0.72,4,161,3,0,0,hr,low,1
2918,4919,0.6,0.82,4,194,3,0,0,hr,low,1
2919,4920,0.55,0.93,3,217,3,1,0,technical,low,1
2920,4921,0.96,0.71,3,170,3,0,0,technical,low,1
2921,4922,0.83,0.94,4,243,3,0,0,technical,low,1
2922,4923,0.95,0.7,4,267,3,1,0,technical,low,1
2923,4924,0.77,0.88,2,169,3,0,0,technical,medium,1
2924,4925,0.83,0.95,3,255,3,0,0,technical,medium,1
2925,4926,0.87,0.54,4,211,3,0,0,technical,medium,1
2926,4927,0.69,0.49,3,198,4,0,0,technical,medium,1
2927,4928,0.67,0.58,3,246,3,0,0,technical,medium,1
2928,4929,0.55,0.49,3,146,2,0,0,technical,medium,1
2929,4930,0.55,0.82,4,134,6,0,0,technical,medium,1
2930,4931,0.39,0.48,3,169,3,0,0,support,medium,1
2931,4932,0.51,0.93,5,232,3,0,0,support,medium,1
2932,4933,0.39,0.38,2,106,3,1,0,support,medium,1
2933,4934,0.96,0.93,4,260,3,0,0,support,medium,1
2934,4935,0.68,0.81,3,232,2,0,0,support,medium,1
2935,4936,0.67,0.71,4,173,3,0,0,support,high,1
2936,4937,0.68,0.44,5,152,5,0,0,support,low,1
2937,4938,0.56,0.58,3,173,3,0,0,support,medium,1
2938,4939,0.9,0.7,3,274,3,0,0,support,medium,1
2939,4940,0.69,0.59,3,233,3,0,0,support,medium,1
2940,4941,0.99,0.71,4,232,3,0,0,support,medium,1
2941,4942,0.42,0.59,3,156,2,0,0,technical,low,1
2942,4943,0.28,0.51,3,124,3,0,0,technical,low,1
2943,4944,0.55,0.65,3,207,3,0,0,technical,low,1
2944,4945,0.91,0.53,3,273,6,0,0,management,low,1
2945,4946,0.53,0.98,3,219,4,0,0,IT,low,1
2946,4947,0.87,0.74,4,207,3,0,0,IT,low,1
2947,4948,0.57,0.6,4,248,4,0,0,IT,low,1
2948,4949,0.59,0.77,3,169,3,0,0,IT,low,1
2949,4950,0.76,0.89,4,181,3,0,0,IT,low,1
2950,4951,0.59,0.42,3,196,3,0,0,product_mng,low,1
2951,4952,0.5,0.54,3,254,2,0,0,product_mng,low,1
2952,4953,0.55,0.55,4,191,4,0,0,product_mng,low,1
2953,4954,0.92,0.53,3,238,2,0,0,product_mng,low,1
2954,4955,0.8,0.51,5,196,3,0,0,IT,low,1
2955,4956,0.93,0.66,4,228,3,0,0,RandD,low,1
2956,4957,0.67,0.57,4,165,3,0,0,RandD,low,1
2957,4958,0.78,0.55,3,144,2,0,0,RandD,low,1
2958,4959,0.61,0.7,4,243,3,0,0,RandD,low,1
2959,4960,0.74,0.84,3,206,3,0,0,RandD,low,1
2960,4961,0.5,0.49,3,180,3,1,0,marketing,low,1
2961,4962,0.84,0.96,3,161,2,1,0,sales,low,1
2962,4963,0.89,0.55,4,196,2,0,0,accounting,medium,1
2963,4964,0.77,0.89,5,152,3,0,0,support,medium,1
2964,4965,0.64,0.71,3,231,4,0,0,technical,medium,1
2965,4966,0.77,0.89,2,215,5,1,0,management,medium,1
2966,4967,0.74,0.58,4,233,4,0,0,marketing,medium,1
2967,4968,0.88,0.96,4,155,2,0,0,marketing,medium,1
2968,4969,0.88,0.96,5,182,4,1,0,marketing,medium,1
2969,4970,0.89,0.88,3,165,4,0,0,sales,medium,1
2970,4971,0.74,0.59,2,257,4,1,0,sales,medium,1
2971,4972,0.63,0.74,4,155,2,0,0,sales,medium,1
2972,4973,0.63,0.8,4,243,2,0,0,sales,medium,1
2973,4974,0.68,0.92,2,184,4,0,0,sales,medium,1
2974,4975,0.14,0.81,4,138,3,1,0,sales,high,1
2975,4976,0.86,0.94,5,209,4,0,0,sales,low,1
2976,4977,0.73,0.53,3,205,2,0,0,sales,medium,1
2977,4978,0.57,0.56,3,191,3,0,0,sales,medium,1
2978,4979,0.97,0.75,5,270,3,1,0,sales,medium,1
2979,4980,0.67,0.36,4,97,4,0,0,sales,medium,1
2980,4981,0.89,0.74,4,174,2,0,0,sales,low,1
2981,4982,0.8,0.96,5,124,3,0,0,sales,low,1
2982,4983,0.3,0.51,2,178,3,0,0,sales,low,1
2983,4984,0.14,0.73,5,266,6,0,0,sales,low,1
2984,4985,0.91,0.8,4,181,3,0,0,sales,low,1
2985,4986,0.49,0.81,4,233,3,0,0,sales,low,1
2986,4987,0.57,0.68,3,254,4,0,0,sales,low,1
2987,4988,0.59,0.62,3,219,3,0,0,sales,low,1
2988,4989,0.5,0.7,5,166,2,0,0,accounting,low,1
2989,4990,0.69,0.97,3,158,2,0,0,accounting,low,1
2990,4991,0.81,0.68,3,151,3,0,0,accounting,low,1
2991,4992,0.79,0.82,3,98,3,1,0,hr,low,1
2992,4993,0.55,0.91,4,187,4,1,0,hr,low,1
2993,4994,0.92,0.62,4,266,2,0,0,hr,low,1
2994,4995,0.94,0.59,5,250,3,0,0,hr,low,1
2995,4996,0.67,0.55,5,193,3,0,0,technical,low,1
2996,4997,0.53,0.92,4,223,3,1,0,technical,low,1
2997,4998,0.77,0.59,5,189,5,0,0,technical,low,1
2998,4999,0.57,0.82,5,138,3,0,0,technical,low,1
2999,5000,0.64,0.97,4,268,2,0,0,technical,low,1
3000,5001,0.35,1.0,6,186,2,0,0,technical,low,1
3001,5002,0.66,0.71,3,136,3,1,0,technical,medium,1
3002,5003,0.59,0.84,4,245,3,0,0,technical,medium,1
3003,5004,0.49,0.93,4,184,3,0,0,technical,medium,1
3004,5005,0.91,0.99,5,152,3,0,0,technical,medium,1
3005,5006,0.12,0.6,2,194,4,0,0,technical,medium,1
3006,5007,0.74,0.68,3,242,5,1,0,support,medium,1
3007,5008,0.84,0.94,4,246,2,1,0,support,medium,1
3008,5009,0.51,0.99,4,211,3,0,0,support,medium,1
3009,5010,0.94,0.71,4,189,3,0,0,support,medium,1
3010,5011,0.74,0.66,3,254,2,0,0,support,medium,1
3011,5012,0.52,0.54,5,239,3,0,0,support,medium,1
3012,5013,0.31,0.92,4,133,6,0,0,support,medium,1
3013,5014,0.72,0.59,3,255,2,0,0,support,high,1
3014,5015,0.92,1.0,3,212,2,0,0,support,low,1
3015,5016,0.56,0.64,3,270,3,0,0,support,medium,1
3016,5017,0.76,0.45,5,177,6,0,0,support,medium,1
3017,5018,0.59,0.9,4,261,4,0,0,technical,medium,1
3018,5019,0.5,0.74,3,220,3,0,0,technical,medium,1
3019,5020,0.88,0.72,2,144,4,1,0,technical,low,1
3020,5021,0.86,0.49,4,274,2,0,0,management,low,1
3021,5022,0.66,0.99,4,195,3,0,0,IT,low,1
3022,5023,0.7,0.69,4,158,3,0,0,IT,low,1
3023,5024,0.98,0.93,5,145,4,0,0,IT,low,1
3024,5025,0.61,0.73,3,165,3,1,0,IT,low,1
3025,5026,0.57,0.66,4,270,2,0,0,IT,low,1
3026,5027,0.84,0.91,5,208,3,0,0,product_mng,low,1
3027,5028,0.76,0.4,2,245,5,0,0,product_mng,medium,1
3028,5029,0.64,0.99,4,180,4,0,0,product_mng,medium,1
3029,5030,0.87,0.7,5,225,3,0,0,product_mng,medium,1
3030,5031,0.62,0.69,3,261,2,0,0,IT,medium,1
3031,5032,0.16,0.99,3,213,6,1,1,RandD,medium,1
3032,5033,0.83,0.87,3,230,3,0,1,RandD,medium,1
3033,5034,0.36,0.59,2,198,2,0,1,RandD,medium,1
3034,5035,0.47,0.51,6,190,5,0,1,RandD,medium,1
3035,5036,0.54,0.51,4,137,4,0,1,RandD,medium,1
3036,5037,0.83,0.83,3,186,3,1,1,marketing,medium,1
3037,5038,0.96,0.68,4,137,2,0,1,sales,medium,1
3038,5039,0.91,0.74,5,192,3,0,1,accounting,medium,1
3039,5040,0.56,0.59,4,164,3,0,1,support,medium,1
3040,5041,0.73,0.66,6,195,3,0,1,technical,medium,1
3041,5042,0.97,0.63,4,151,3,0,1,management,medium,1
3042,5043,0.75,0.74,5,231,3,0,1,marketing,medium,1
3043,5044,0.49,0.76,3,257,2,1,0,marketing,medium,1
3044,5045,0.57,0.94,4,257,3,0,0,marketing,medium,1
3045,5046,0.41,0.58,5,274,2,1,0,sales,medium,1
3046,5047,0.53,0.7,3,138,2,0,0,sales,medium,1
3047,5048,0.93,0.6,4,184,3,0,0,sales,medium,1
3048,5049,0.58,0.9,3,151,3,0,0,sales,medium,1
3049,5050,0.6,0.54,3,265,3,1,0,sales,medium,1
3050,5051,0.74,0.8,4,241,2,0,0,sales,medium,1
3051,5052,0.62,0.52,3,148,3,0,0,sales,medium,1
3052,5053,0.7,0.76,5,165,3,0,0,sales,medium,1
3053,5054,0.93,0.75,3,243,2,0,0,sales,medium,1
3054,5055,0.75,0.9,4,197,2,0,0,sales,medium,1
3055,5056,0.95,0.48,5,214,6,1,1,sales,medium,1
3056,5057,0.43,0.98,4,164,3,0,1,sales,medium,1
3057,5058,0.77,0.58,4,243,4,1,1,sales,medium,1
3058,5059,0.67,1.0,4,145,3,1,1,sales,medium,1
3059,5060,0.51,0.72,4,163,4,0,1,sales,medium,1
3060,5061,0.94,0.53,5,257,2,0,1,sales,medium,1
3061,5062,0.9,0.85,3,253,3,0,0,sales,medium,1
3062,5063,0.8,0.78,4,234,3,0,0,sales,medium,1
3063,5064,0.34,0.89,5,266,6,0,0,sales,medium,1
3064,5065,0.45,0.53,3,181,4,1,0,accounting,low,1
3065,5066,0.97,0.66,4,193,4,0,0,accounting,low,1
3066,5067,0.5,0.48,3,163,4,0,0,accounting,low,1
3067,5068,0.89,0.62,5,144,2,0,0,hr,low,1
3068,5069,0.76,0.5,4,245,3,0,0,hr,low,1
3069,5070,0.66,0.84,4,197,2,0,0,hr,low,1
3070,5071,0.74,0.63,3,180,2,0,0,hr,low,1
3071,5072,0.69,0.74,4,237,3,0,0,technical,low,1
3072,5073,0.59,0.57,2,170,3,0,0,technical,low,1
3073,5074,1.0,0.85,3,150,3,0,0,technical,low,1
3074,5075,0.61,0.75,2,100,4,0,0,technical,low,1
3075,5076,0.98,0.42,5,226,3,0,0,technical,low,1
3076,5077,0.59,0.71,5,222,3,0,0,technical,low,1
3077,5078,0.22,0.69,4,182,6,0,0,technical,low,1
3078,5079,0.71,0.95,3,150,2,0,0,technical,low,1
3079,5080,0.86,0.53,4,244,3,0,0,technical,medium,1
3080,5081,0.65,0.59,5,271,3,0,0,technical,medium,1
3081,5082,0.93,0.67,5,167,3,0,0,technical,medium,1
3082,5083,0.49,0.69,2,128,2,0,0,support,medium,1
3083,5084,0.78,0.77,3,149,4,1,0,support,medium,1
3084,5085,0.62,0.7,4,141,4,0,0,support,medium,1
3085,5086,0.72,0.63,3,149,2,0,0,support,medium,1
3086,5087,0.7,0.56,4,107,6,0,0,support,medium,1
3087,5088,0.54,0.93,5,189,2,0,0,support,medium,1
3088,5089,0.61,0.95,4,169,4,0,0,support,medium,1
3089,5090,0.84,0.95,4,208,3,1,0,support,medium,1
3090,5091,0.8,0.58,3,197,3,0,0,support,medium,1
3091,5092,0.58,0.5,4,225,3,0,0,support,high,1
3092,5093,0.97,0.87,2,175,6,0,0,support,high,1
3093,5094,0.92,0.55,3,172,2,0,0,technical,high,1
3094,5095,0.96,0.51,3,237,4,0,0,technical,high,1
3095,5096,0.73,0.87,4,155,3,1,0,technical,high,1
3096,5097,0.73,0.71,4,148,3,0,0,management,high,1
3097,5098,0.53,0.83,4,246,3,0,0,IT,high,1
3098,5099,0.17,0.82,5,193,5,0,0,IT,high,1
3099,5100,0.75,0.76,5,175,4,0,0,IT,low,1
3100,5101,0.76,0.44,3,121,4,0,0,IT,low,1
3101,5102,0.76,0.77,4,223,3,0,0,IT,low,1
3102,5103,0.92,0.55,3,259,3,0,0,product_mng,low,1
3103,5104,0.82,0.88,4,171,2,0,0,product_mng,low,1
3104,5105,0.38,0.5,2,170,3,0,0,product_mng,low,1
3105,5106,0.49,0.72,4,246,3,0,0,product_mng,low,1
3106,5107,0.53,0.8,3,175,3,0,0,IT,low,1
3107,5108,0.56,0.59,3,185,2,0,0,RandD,medium,1
3108,5109,0.69,0.98,3,168,2,0,0,RandD,medium,1
3109,5110,0.62,0.99,4,171,3,0,0,RandD,medium,1
3110,5111,0.71,0.76,3,201,2,0,0,RandD,medium,1
3111,5112,0.52,1.0,4,148,3,0,0,RandD,medium,1
3112,5113,0.2,0.53,6,189,4,0,0,marketing,medium,1
3113,5114,0.93,0.61,3,166,3,0,0,sales,medium,1
3114,5115,0.74,0.81,4,150,2,0,0,accounting,medium,1
3115,5116,0.78,0.45,3,253,6,0,1,support,medium,1
3116,5117,0.85,0.79,3,243,2,0,1,technical,medium,1
3117,5118,0.79,0.56,5,250,2,1,1,management,medium,1
3118,5119,0.92,0.91,3,228,2,0,1,marketing,medium,1
3119,5120,0.58,0.97,3,186,3,0,1,marketing,medium,1
3120,5121,0.68,0.72,3,213,3,0,1,marketing,medium,1
3121,5122,0.9,0.67,4,233,3,0,1,sales,medium,1
3122,5123,0.67,0.71,5,265,2,0,1,sales,medium,1
3123,5124,0.79,0.73,4,226,3,0,0,sales,medium,1
3124,5125,0.23,0.48,5,221,6,0,0,sales,medium,1
3125,5126,0.98,0.99,3,253,4,0,0,sales,medium,1
3126,5127,0.8,0.75,3,134,4,0,0,sales,medium,1
3127,5128,0.77,0.84,3,188,4,0,0,sales,medium,1
3128,5129,1.0,0.91,3,160,4,0,0,sales,medium,1
3129,5130,0.6,0.92,4,164,4,0,0,sales,medium,1
3130,5131,0.49,0.54,6,214,3,0,0,sales,high,1
3131,5132,0.91,0.99,5,228,4,1,0,sales,low,1
3132,5133,0.97,0.52,5,149,3,1,0,sales,medium,1
3133,5134,0.71,0.76,3,175,2,0,0,sales,medium,1
3134,5135,0.62,0.91,3,195,3,0,0,sales,medium,1
3135,5136,0.61,0.92,3,222,4,0,0,sales,medium,1
3136,5137,0.21,0.6,5,249,4,0,0,sales,medium,1
3137,5138,0.64,0.97,2,226,3,1,0,sales,medium,1
3138,5139,0.61,0.65,2,117,2,1,0,sales,medium,1
3139,5140,0.58,0.75,4,255,3,0,0,sales,medium,1
3140,5141,0.41,0.9,6,155,2,0,0,accounting,medium,1
3141,5142,0.98,0.73,5,185,3,0,0,accounting,medium,1
3142,5143,0.5,0.88,4,275,5,0,0,accounting,low,1
3143,5144,0.98,0.61,3,226,2,0,0,hr,low,1
3144,5145,0.4,0.85,4,198,2,0,0,hr,low,1
3145,5146,0.63,0.92,2,198,2,0,0,hr,low,1
3146,5147,0.75,0.53,4,251,3,0,0,hr,low,1
3147,5148,0.82,0.84,3,237,2,0,0,technical,low,1
3148,5149,0.55,0.62,5,197,2,0,0,technical,low,1
3149,5150,0.44,0.36,2,136,3,0,0,technical,high,1
3150,5151,0.92,0.88,3,184,3,1,0,technical,low,1
3151,5152,0.57,0.56,2,159,3,0,0,technical,high,1
